;homicidio_doloso;homicidio_seg_vial;hurto_sin_violencia;hurto_automotor;lesiones_seg_vial;robo_con_violencia;robo_automotor;poblacion
AGRONOMIA;0;1;414;82;73;671;38;13963
ALMAGRO;4;4;3829;841;337;9105;214;128206
BALVANERA;23;8;9095;422;668;12837;142;137521
BARRACAS;26;11;2434;479;317;6288;441;73377
BELGRANO;4;3;4088;566;292;6457;115;126831
BOEDO;2;6;1591;486;225;3097;445;45563
CABALLITO;10;8;4650;1062;423;10102;448;176076
CHACARITA;6;2;1242;140;143;2813;46;25778
COGHLAND;0;0;419;128;35;905;27;18021
COLEGIALES;1;2;1173;292;114;2470;51;52391
CONSTITUCION;22;15;2031;181;284;6958;127;41894
FLORES;56;19;5028;981;444;11412;852;142695
FLORESTA;2;1;1493;422;110;2444;124;39473
LA BOCA;11;3;1219;221;144;3251;175;49745
LINIERS;18;9;1838;751;230;3894;311;44234
MATADEROS;3;11;2373;796;262;4397;712;64932
MONTE CASTRO;2;1;1045;281;60;1485;161;34584
MONTSERRAT;7;11;3977;100;256;3980;73;39175
NUÑEZ;1;6;1784;384;164;2952;90;53005
NUEVA POMPEYA;11;10;1534;401;261;4980;448;63276
PALERMO;9;15;10603;1000;725;15165;172;225970
PARQUE AVELLANEDA;7;8;1582;338;235;3080;389;54191
PARQUE CHACABUCO;10;4;1642;445;152;4566;640;56281
PARQUE CHAS;0;0;509;144;35;626;22;20657
PARQUE PATRICIOS;10;2;1692;345;150;3717;187;40885
PATERNAL;3;4;595;119;76;1197;49;20053
PUERTO MADERO;0;1;57;9;40;226;5;7000
RECOLETA;6;6;5916;324;392;9894;70;157932
RETIRO;45;5;3009;71;225;5089;44;45002
SAAVEDRA;3;11;1793;409;262;2835;146;51723
SAN CRISTOBAL;7;5;1447;322;273;3752;183;45608
SAN NICOLAS;10;7;9318;96;308;7562;18;33305
SAN TELMO;3;1;1935;92;138;2720;97;25969
VELEZ SARSFIELD;1;2;1055;311;105;1909;179;35963
VERSALLES;1;1;497;92;46;833;58;14178
VILLA CRESPO;2;4;2481;526;295;5297;94;89859
VILLA DEL PARQUE;2;0;1434;282;79;2320;135;58573
VILLA DEVOTO;6;10;2260;384;251;3065;192;71013
VILLA GRAL MITRE;0;2;1070;214;116;2301;81;36090
VILLA LUGANO;37;19;2738;1127;232;6416;726;114253
VILLA LURO;4;0;1052;280;103;1802;173;33058
VILLA ORTUZAR;0;0;624;130;71;1104;31;22591
VILLA PUEYRREDON;1;4;1168;312;153;1632;109;40235
VILLA REAL;2;2;435;106;84;795;91;14278
VILLA RIACHUELO;1;6;583;241;72;903;166;14960
VILLA SANTA RITA;2;1;1050;270;111;1947;124;33850
VILLA SOLDATI;16;10;1020;266;102;3451;348;41228
VILLA URQUIZA;8;3;2423;518;160;4063;148;85587
(en blanco);0;0;1056;221;0;1609;76;0
